Name,Lat,Long,Address,City,Area_Code,What
Eye of Kuruman,-27.4634802,23.4275452,Kuruman,Kuruman,8460,Natural Spring
Truce Tree,-27.4397089,23.4387855,"46 Seodin Rd, Kuruman",Kuruman,8460,Historical Landmark
Moffat Mission Station,-27.4216012,23.4270186,"Thompson St, Kuruman",Kuruman,8460,Historical Place
Kuruman Country Club,-27.4740998,23.441939,Kuruman,Kuruman,8460,Golf Course
Hiking - Red Sands Country Lodge Hiking Trails,-27.4507219,23.4362884,Kuruman,Kuruman,8460,Hiking
Kuruman Hospital,-27.4605388,23.4399673,"1 Main Street, Kuruman",Kuruman,8460,Hospital
Wrenchville Sekondere Skool,-27.4524129,23.4556177,Kuruman,Kuruman,8460,School
Potchefstroom Dam,-26.6704848,27.0891478,"2 Calderbank Ave, Potchefstroom",Potchefstroom,2520,Dam
OPM Prozesky Bird Sanctuary,-26.7474502,27.0942183,"Unnamed Road, Potchefstroom Rural 2, Potchefstroom",Potchefstroom,2520,Bird Sanctuary
Trimpark,-26.7096688,27.1043175,"4 Arend St, Potchefstroom",Potchefstroom,2520,Park
Totius House Museum,-26.6966371,27.0943473,"108 Molen St, Potchefstroom",Potchefstroom,2620,Historical Place
Aardklop Venue,-26.6966371,27.0943473,"92 Steve Biko St, Potchefstroom",Potchefstroom,2520,Event Venue
Senwes Park,-26.6937807,27.1009026,"Thabo Mbeki Way, Bult, Potchefstroom",Potchefstroom,2531,Stadium
NWU Potch,-26.6937807,27.1009026,"Van Der Hoff Way, Potchefstroom",Potchefstroom,2520,University
Hoërskool Gimnasium Potchefstroom,-26.6877393,27.0959841,"20 Molen St, Potchefstroom",Potchefstroom,2531,School
Potchefstroom Central School,-26.7177232,27.0922181,"95 Beyers Naude Ave, Potchefstroom",Potchefstroom,2531,School
Potchefstroom Country Club,-26.7185451,27.1036577,"Mooi River Avenue, Potchefstroom",Potchefstroom,2520,Golf Course
Union Buildings,-25.7858866,28.2788732,"Government Ave, Pretoria",Pretoria,2,SA's Seat of Government
Pretoria National Botanical Gardens,-25.7858866,28.2788732,"2 Cussonia Street, Brummeria, Pretoria",Pretoria,184,Botanical Gardens
Roodeplaat Dam Provincial Nature Reserve,-25.6419906,28.2933337,Roodeplaat,Pretoria,186,Nature Reserve
Groenkloof Nature Reserve,-25.7700593,28.2428653,"Christina De Wit Ave, Road, Pretoria",Pretoria,27,Nature Reserve
National Zoological Gardens of South Africa,-25.7710208,28.2008466,"232 Boom St, Daspoort 319-Jr, Pretoria",Pretoria,1,Zoo
Jan Cilliers Park,-25.7849644,28.2317667,"Corner and, Wenning St & Broderick St, Groenkloof, Pretoria",Pretoria,27,Park
Waterkloof Golf Club,-25.7849644,28.2317667,"Johan Rissik Drive, Waterkloof, Eclipse Rd, Groenkloof 358-Jr, Pretoria",Pretoria,181,Golf Course
Freedom Park Heritage Site & Museum,-25.7661412,28.1857633,"koch st &, 7th Ave, Salvokop, Pretoria",Pretoria,2,Heritage museum
University of Pretoria - Hatfield Campus Main Entrance,-25.7551727,28.2089878,"Lynnwood Rd & Roper St, Hatfield, Pretoria",Pretoria,2,University
Loftus Versfeld Stadium.,-25.7548448,28.2120527,"416 Kirkness St, Arcadia, Pretoria",Pretoria,7,Stadium
Time Square Casino,-25.7846575,28.27251,"209 Aramist Ave, Menlyn, Pretoria",Pretoria,10,Casino
St Alban's College,-25.7835235,28.2820587,"110 Clearwater Rd, Lynnwood Glen, Pretoria",Pretoria,81,School
Netcare Pretoria East Hospital,-25.7929451,28.2847718,"Netcare St, Moreleta Park, Pretoria",Pretoria,181,Hospital
Department Of Home Affairs Queenstown,-31.8962937,26.8709809,"5 Hexagon Hotel Zeiler St & Cathcart St, Queenstown",Queenstown,5320,Government Department
Boston City Campus - Queenstown,-31.8946064,26.8727719,"3 Grey St, Queenstown",Queenstown,5319,Educational Institution
Queens Casino and Hotel,-31.8994951,26.878187,"N6 Cathcart road, Queenstown",Queenstown,5320,Casino
Queen's College,-31.8898115,26.8834876,Queenstown,Queenstown,5320,School
Victoria Recreation Grounds,-31.8867749,26.8799202,Queenstown,Queenstown,5319,Stadium
Komani parkrun,-31.8981926,26.8886584,Queenstown,Queenstown,5319,
Jonkershoek Nature Reserve,-33.9686617,18.9324279,"Jonkershoek Rd, Stellenbosch",Stellenbosch,7600,Nature Reserve
Stellenbosch University Botanical Garden,-33.937199,18.8681091,"Neethling St & Van Riebeeck St,  Stellenbosch Central, Stellenbosch",Stellenbosch,7602,Botanical Gardens
Paul Roos Gymnasium,-33.9375554,18.8560792,"311 Suidwal Rd, Krigeville, Stellenbosch",Stellenbosch,7600,School
Stellenbosch University,-33.933373,18.865073,"Stellenbosch Central, Stellenbosch",Stellenbosch,7600,University
Zorgvliet Wine Estate,-33.9146327,18.8884453,"Helshoogte Rd, Stellenbosch",Stellenbosch,7600,Wine Estate
Delaire Graff Estate,-33.9239838,18.8707803,"Helshoogte Rd, Stellenbosch",Stellenbosch,7602,Wine Estate
Bloemhof High School,-33.9379764,18.8603732,"Koch Rd, Krigeville, Stellenbosch",Stellenbosch,7600,School
Stellenbosch Museum,-33.9374189,18.8630452,"37 Ryneveld St, Stellenbosch",Stellenbosch,7600,Historical Meseum
Stark-Conde Wines,-33.9541343,18.910413,"Oude Nektar Farm Jonkershoek Valley, Stellenbosch",Stellenbosch,7600,Wine Estate
Athlone Stadium,-33.9673888,18.5057732,"Cross Blvd, Athlone, Cape Town",Athlone,7764,Stadium
Athlone High School,-33.9673888,18.5057732,"39 Calendula Road Silvertown, Athlone, Cape Town",Athlone,7764,School
Al-Azhar High School Cape Town,-33.9673888,18.5057732,"Cnr Birdwood street and Newton Ave, Athlone, Cape Town",Athlone,7760,School
Joseph Stone Auditorium,-33.964554,18.5014474,"Protea St & Klipfontein Rd, Athlone, Cape Town",Athlone,7764,Auditorium
